iter	 dofs	 error_d	 error_unc	 error_corr	 straight_line	 unc_func	 cor_func	 ref_func
1	 85	 0.502550072	 0.007599857	 0.007599857	 0.845120002	 -0.000000000	 -0.000000000	 0.007599857
2	 255	 0.304735620	 0.003915453	 0.003704962	 0.406291320	 0.003684404	 0.003894895	 0.007599857
3	 267	 0.287378708	 0.003829749	 0.003616518	 0.394024739	 0.003770108	 0.003983339	 0.007599857
4	 297	 0.293028365	 0.003841946	 0.003621919	 0.367023071	 0.003757911	 0.003977938	 0.007599857
5	 321	 0.231651661	 0.002716398	 0.002666679	 0.348493201	 0.004883459	 0.004933178	 0.007599857
6	 351	 0.232775593	 0.002687892	 0.002695785	 0.328341859	 0.004911965	 0.004904072	 0.007599857
7	 384	 0.254208689	 0.001635360	 0.001932650	 0.309250337	 0.005964498	 0.005667208	 0.007599857
8	 453	 0.235364573	 0.001414559	 0.001791986	 0.276990918	 0.006185299	 0.005807871	 0.007599857
9	 516	 0.214606153	 0.000241832	 0.001141410	 0.253959539	 0.007358025	 0.006458448	 0.007599857
10	 860	 0.193230467	 0.000109555	 0.001006854	 0.180661397	 0.007490302	 0.006593003	 0.007599857
11	 995	 0.187019726	 0.000176322	 0.001072775	 0.163926416	 0.007423535	 0.006527082	 0.007599857
12	 1185	 0.116425100	 0.000267040	 0.000910393	 0.145898927	 0.007866898	 0.006689464	 0.007599857
13	 1445	 0.082210390	 0.000389476	 0.000884035	 0.127825971	 0.007989333	 0.006715822	 0.007599857
14	 2023	 0.068731193	 0.000481144	 0.000481432	 0.102141071	 0.007118713	 0.007118425	 0.007599857
15	 2345	 0.063097096	 0.000587808	 0.000587990	 0.092562647	 0.007012049	 0.007011867	 0.007599857
16	 2814	 0.057975794	 0.000421126	 0.000419715	 0.081968742	 0.007178731	 0.007180142	 0.007599857
17	 3248	 0.054549029	 0.000461457	 0.000460057	 0.074493832	 0.007138400	 0.007139800	 0.007599857
18	 4172	 0.038621387	 0.000308877	 0.000305561	 0.063042699	 0.007290980	 0.007294296	 0.007599857
19	 4914	 0.035535862	 0.000395281	 0.000391786	 0.056525042	 0.007204576	 0.007208071	 0.007599857
20	 6090	 0.026710812	 0.000297380	 0.000293155	 0.048991357	 0.007302477	 0.007306702	 0.007599857
21	 9570	 0.021937654	 0.000247139	 0.000270358	 0.036245690	 0.007352718	 0.007329499	 0.007599857
22	 11462	 0.020076688	 0.000238967	 0.000262714	 0.032138386	 0.007360890	 0.007337143	 0.007599857
23	 13992	 0.015442002	 0.000199991	 0.000224241	 0.028137001	 0.007399866	 0.007375616	 0.007599857
24	 16896	 0.014336821	 0.000207376	 0.000232103	 0.024812759	 0.007392481	 0.007367754	 0.007599857
25	 21813	 0.010774854	 0.000165398	 0.000190629	 0.020927663	 0.007434459	 0.007409228	 0.007599857
26	 26301	 0.009920429	 0.000169974	 0.000195509	 0.018473513	 0.007429883	 0.007404348	 0.007599857
27	 34133	 0.007745990	 0.000142827	 0.000168850	 0.015526778	 0.007457030	 0.007431007	 0.007599857
28	 40339	 0.009647566	 0.000133732	 0.000148764	 0.013890384	 0.007466125	 0.007451093	 0.007599857
29	 52751	 0.006215675	 0.000011014	 0.000080063	 0.011615659	 0.007588843	 0.007519794	 0.007599857
30	 63478	 0.005697848	 0.000016059	 0.000085315	 0.010267125	 0.007583798	 0.007514542	 0.007599857
31	 77792	 0.004560050	 0.000004141	 0.000074397	 0.008965497	 0.007595716	 0.007525460	 0.007599857
32	 96288	 0.004015509	 0.000002360	 0.000072835	 0.007777074	 0.007597497	 0.007527022	 0.007599857
33	 118944	 0.003580789	 0.000009156	 0.000061081	 0.006755165	 0.007590701	 0.007538776	 0.007599857
34	 152082	 0.002756492	 0.000002502	 0.000049625	 0.005734283	 0.007602360	 0.007550232	 0.007599857
35	 183813	 0.002540140	 0.000001097	 0.000051104	 0.005053747	 0.007600954	 0.007548753	 0.007599857
36	 240765	 0.002043075	 0.000010943	 0.000041677	 0.004221519	 0.007610800	 0.007558180	 0.007599857
37	 292257	 0.001890240	 0.000009054	 0.000043581	 0.003709833	 0.007608911	 0.007556276	 0.007599857
38	 347925	 0.001640708	 0.000020072	 0.000028196	 0.003302736	 0.007579785	 0.007571662	 0.007599857
39	 440025	 0.001351766	 0.000017177	 0.000025306	 0.002824096	 0.007582680	 0.007574551	 0.007599857
40	 538675	 0.001224964	 0.000016813	 0.000024942	 0.002467818	 0.007583045	 0.007574915	 0.007599857
41	 692550	 0.000969801	 0.000013876	 0.000022005	 0.002087198	 0.007585981	 0.007577852	 0.007599857
