iter	 dofs	 error_d	 error_unc	 error_corr	 straight_line	 unc_func	 cor_func	 ref_func
1	 65	 0.005949133	 0.000292914	 0.000412317	 0.009595308	 -0.002185186	 -0.002065782	 -0.002478100
2	 71	 0.005748803	 0.000283861	 0.000402632	 0.009046812	 -0.002194239	 -0.002075468	 -0.002478100
3	 78	 0.005403922	 0.000239011	 0.000362456	 0.008497114	 -0.002239088	 -0.002115644	 -0.002478100
4	 83	 0.005134019	 0.000227057	 0.000352468	 0.008152343	 -0.002251043	 -0.002125632	 -0.002478100
5	 97	 0.004628871	 0.000202547	 0.000331515	 0.007347732	 -0.002275553	 -0.002146585	 -0.002478100
6	 105	 0.003699612	 0.000157869	 0.000291125	 0.006969607	 -0.002320231	 -0.002186975	 -0.002478100
7	 119	 0.003139428	 0.000143621	 0.000278042	 0.006411651	 -0.002334479	 -0.002200058	 -0.002478100
8	 143	 0.003155828	 0.000122941	 0.000258248	 0.005672534	 -0.002355158	 -0.002219852	 -0.002478100
9	 164	 0.002802796	 0.000097248	 0.000234616	 0.005177323	 -0.002380852	 -0.002243483	 -0.002478100
10	 187	 0.002602801	 0.000081496	 0.000219627	 0.004743586	 -0.002396603	 -0.002258472	 -0.002478100
11	 215	 0.002524264	 0.000071636	 0.000210098	 0.004322240	 -0.002406463	 -0.002268002	 -0.002478100
12	 242	 0.002433479	 0.000066186	 0.000204987	 0.003994455	 -0.002411914	 -0.002273113	 -0.002478100
13	 273	 0.002117074	 0.000059283	 0.000198378	 0.003686034	 -0.002418817	 -0.002279722	 -0.002478100
14	 311	 0.002038452	 0.000057253	 0.000196579	 0.003379306	 -0.002420846	 -0.002281521	 -0.002478100
15	 356	 0.001877508	 0.000052457	 0.000192189	 0.003088170	 -0.002425643	 -0.002285911	 -0.002478100
16	 436	 0.001737408	 0.000045822	 0.000185977	 0.002697803	 -0.002432277	 -0.002292123	 -0.002478100
17	 506	 0.001646623	 0.000045395	 0.000185620	 0.002442873	 -0.002432705	 -0.002292480	 -0.002478100
18	 600	 0.001515937	 0.000041941	 0.000182392	 0.002180555	 -0.002436159	 -0.002295708	 -0.002478100
19	 1800	 0.000539791	 0.000027678	 0.000036222	 0.001048301	 -0.002450421	 -0.002441878	 -0.002478100
20	 2184	 0.000521250	 0.000023751	 0.000032306	 0.000921509	 -0.002454349	 -0.002445794	 -0.002478100
21	 2586	 0.000418738	 0.000018470	 0.000027030	 0.000823346	 -0.002459630	 -0.002451070	 -0.002478100
22	 3093	 0.000393994	 0.000015245	 0.000023810	 0.000730715	 -0.002462855	 -0.002454289	 -0.002478100
23	 3828	 0.000325189	 0.000012511	 0.000021081	 0.000633899	 -0.002465589	 -0.002457019	 -0.002478100
24	 4587	 0.000297629	 0.000011757	 0.000020324	 0.000561887	 -0.002466342	 -0.002457776	 -0.002478100
25	 5934	 0.000239124	 0.000009672	 0.000018243	 0.000473263	 -0.002468428	 -0.002459857	 -0.002478100
26	 7539	 0.000224836	 0.000008861	 0.000017433	 0.000403452	 -0.002469239	 -0.002460666	 -0.002478100
27	 9156	 0.000190848	 0.000007449	 0.000016024	 0.000354430	 -0.002470651	 -0.002462076	 -0.002478100
28	 11283	 0.000163388	 0.000006336	 0.000014913	 0.000308355	 -0.002471763	 -0.002463186	 -0.002478100
29	 13305	 0.000156647	 0.000005556	 0.000014135	 0.000276264	 -0.002472544	 -0.002463965	 -0.002478100
30	 16116	 0.000147697	 0.000005316	 0.000013893	 0.000243125	 -0.002472784	 -0.002464207	 -0.002478100
31	 19791	 0.000122592	 0.000004746	 0.000013325	 0.000212010	 -0.002473353	 -0.002464775	 -0.002478100
32	 25758	 0.000117111	 0.000004529	 0.000013108	 0.000177852	 -0.002473570	 -0.002464992	 -0.002478100
33	 32370	 0.000101868	 0.000004137	 0.000012717	 0.000152724	 -0.002473962	 -0.002465383	 -0.002478100
34	 39852	 0.000090516	 0.000003823	 0.000012403	 0.000132954	 -0.002474277	 -0.002465697	 -0.002478100
35	 47874	 0.000087962	 0.000003604	 0.000012184	 0.000117653	 -0.002474496	 -0.002465916	 -0.002478100
36	 58545	 0.000084204	 0.000003504	 0.000012084	 0.000102882	 -0.002474596	 -0.002466015	 -0.002478100
37	 70239	 0.000074228	 0.000003360	 0.000011941	 0.000091120	 -0.002474740	 -0.002466159	 -0.002478100
38	 117065	 0.000017734	 0.000002116	 0.000002715	 0.000064821	 -0.002475984	 -0.002475385	 -0.002478100
39	 157100	 0.000016288	 0.000002053	 0.000002652	 0.000053278	 -0.002476047	 -0.002475448	 -0.002478100
40	 199890	 0.000012913	 0.000001938	 0.000002537	 0.000045374	 -0.002476162	 -0.002475563	 -0.002478100
41	 253565	 0.000010613	 0.000001847	 0.000002445	 0.000038721	 -0.002476253	 -0.002475654	 -0.002478100
42	 312000	 0.000010166	 0.000001791	 0.000002389	 0.000033721	 -0.002476309	 -0.002475710	 -0.002478100
43	 389330	 0.000008417	 0.000001740	 0.000002339	 0.000029093	 -0.002476359	 -0.002475761	 -0.002478100
