iter	 dofs	 error_d	 error_unc	 error_corr	 straight_line	 unc_func	 cor_func	 ref_func
1	 65	 0.005922872	 0.000274407	 0.000370352	 0.022624120	 0.001755889	 0.001659944	 0.002030296
2	 69	 0.005533374	 0.000248846	 0.000344588	 0.021741085	 0.001781450	 0.001685708	 0.002030296
3	 74	 0.005234450	 0.000227309	 0.000326391	 0.020750383	 0.001802987	 0.001703905	 0.002030296
4	 85	 0.005020751	 0.000180017	 0.000281499	 0.018919137	 0.001850279	 0.001748797	 0.002030296
5	 91	 0.004893623	 0.000149442	 0.000253800	 0.018078109	 0.001880854	 0.001776496	 0.002030296
6	 102	 0.003988771	 0.000138678	 0.000243998	 0.016753819	 0.001891618	 0.001786298	 0.002030296
7	 119	 0.003766949	 0.000115843	 0.000223230	 0.015117592	 0.001914453	 0.001807066	 0.002030296
8	 138	 0.003571901	 0.000099533	 0.000207334	 0.013696025	 0.001930763	 0.001822962	 0.002030296
9	 158	 0.003473474	 0.000086513	 0.000194150	 0.012514376	 0.001943782	 0.001836146	 0.002030296
10	 180	 0.003276568	 0.000066411	 0.000176135	 0.011472699	 0.001963885	 0.001854161	 0.002030296
11	 203	 0.003112158	 0.000058153	 0.000168584	 0.010588877	 0.001972143	 0.001861712	 0.002030296
12	 224	 0.003012490	 0.000051968	 0.000162970	 0.009916276	 0.001978328	 0.001867326	 0.002030296
13	 253	 0.002700490	 0.000044702	 0.000156041	 0.009143243	 0.001985594	 0.001874255	 0.002030296
14	 759	 0.001069463	 0.000048984	 0.000056127	 0.004395613	 0.001981312	 0.001974169	 0.002030296
15	 945	 0.000972828	 0.000043203	 0.000050343	 0.003798039	 0.001987093	 0.001979953	 0.002030296
16	 1194	 0.000836804	 0.000033037	 0.000040188	 0.003249708	 0.001997259	 0.001990108	 0.002030296
17	 1407	 0.000785764	 0.000027942	 0.000035100	 0.002912848	 0.002002353	 0.001995195	 0.002030296
18	 1830	 0.000621752	 0.000021746	 0.000028921	 0.002444630	 0.002008550	 0.002001375	 0.002030296
19	 2208	 0.000567379	 0.000017506	 0.000024695	 0.002156989	 0.002012790	 0.002005601	 0.002030296
20	 2610	 0.000496446	 0.000015000	 0.000022198	 0.001929391	 0.002015296	 0.002008098	 0.002030296
21	 3147	 0.000467227	 0.000012833	 0.000020031	 0.001703136	 0.002017463	 0.002010265	 0.002030296
22	 3903	 0.000398447	 0.000010631	 0.000017835	 0.001475417	 0.002019665	 0.002012461	 0.002030296
23	 4719	 0.000369827	 0.000009002	 0.000016208	 0.001300012	 0.002021294	 0.002014088	 0.002030296
24	 6057	 0.000339826	 0.000007138	 0.000014343	 0.001100717	 0.002023158	 0.002015953	 0.002030296
25	 7503	 0.000281988	 0.000005717	 0.000012928	 0.000954313	 0.002024579	 0.002017368	 0.002030296
26	 9168	 0.000248582	 0.000004945	 0.000012159	 0.000834957	 0.002025351	 0.002018137	 0.002030296
27	 10935	 0.000236752	 0.000004215	 0.000011430	 0.000742394	 0.002026081	 0.002018866	 0.002030296
28	 13509	 0.000208995	 0.000003702	 0.000010918	 0.000644810	 0.002026594	 0.002019377	 0.002030296
29	 15936	 0.000200486	 0.000003347	 0.000010564	 0.000577556	 0.002026949	 0.002019732	 0.002030296
30	 20064	 0.000191272	 0.000002921	 0.000010138	 0.000495339	 0.002027375	 0.002020158	 0.002030296
31	 25158	 0.000164174	 0.000002440	 0.000009658	 0.000425987	 0.002027856	 0.002020638	 0.002030296
32	 41930	 0.000071467	 0.000002357	 0.000003106	 0.000303038	 0.002027939	 0.002027190	 0.002030296
33	 53280	 0.000065941	 0.000002020	 0.000002769	 0.000258308	 0.002028276	 0.002027527	 0.002030296
34	 63805	 0.000056534	 0.000001850	 0.000002598	 0.000229057	 0.002028446	 0.002027697	 0.002030296
35	 80455	 0.000049190	 0.000001698	 0.000002446	 0.000196251	 0.002028598	 0.002027850	 0.002030296
36	 94985	 0.000047196	 0.000001585	 0.000002333	 0.000175689	 0.002028711	 0.002027963	 0.002030296
37	 119965	 0.000044618	 0.000001482	 0.000002230	 0.000150364	 0.002028814	 0.002028066	 0.002030296
38	 152760	 0.000037681	 0.000001345	 0.000002092	 0.000127989	 0.002028951	 0.002028204	 0.002030296
39	 192260	 0.000035752	 0.000001248	 0.000001996	 0.000109796	 0.002029048	 0.002028300	 0.002030296
40	 236255	 0.000031947	 0.000001197	 0.000001945	 0.000095703	 0.002029098	 0.002028351	 0.002030296
41	 330757	 0.000015647	 0.000001166	 0.000000708	 0.000076473	 0.002029130	 0.002029587	 0.002030296
