iter	 dofs	 error_unc	 unc_func
1	 65	 0.011788063	 0.112332536
2	 195	 0.009425261	 0.114695338
3	 225	 0.007241564	 0.116879035
4	 273	 0.005775238	 0.118345361
5	 366	 0.004485022	 0.119635577
6	 507	 0.003116476	 0.121004123
7	 627	 0.002440495	 0.121680104
8	 897	 0.001513416	 0.122607183
9	 1320	 0.001130714	 0.122989885
10	 1767	 0.000980097	 0.123140502
11	 2945	 0.000803114	 0.123317485
12	 3970	 0.000481932	 0.123638667
13	 5560	 0.000251809	 0.123868790
14	 8920	 0.000123560	 0.123997039
15	 16056	 0.000090984	 0.124029615
16	 23130	 0.000016680	 0.124103919
17	 32607	 0.000074090	 0.124194689
18	 39853	 0.000171166	 0.123949433
19	 64119	 0.000133933	 0.123986666
20	 100221	 0.000111914	 0.124008685
21	 139139	 0.000090262	 0.124030337
22	 164437	 0.000051523	 0.124069076
23	 253448	 0.000038445	 0.124082154
24	 331432	 0.000022047	 0.124098552
25	 568242	 0.000015506	 0.124105093
26	 800955	 0.000010122	 0.124110477
27	 1235169	 0.000005945	 0.124114654
28	 1380483	 0.000000015	 0.124120614
29	 2406863	 0.000001749	 0.124122348
30	 3420279	 0.000002706	 0.124117893
31	 4877199	 0.000001386	 0.124119213
32	 7497090	 0.000000216	 0.124120383
33	 13210560	 0.000000253	 0.124120852
34	 15167680	 0.000003561	 0.124117038
